t,x
0,12.12
16,7.97
32,7.79
48,12.82
64,12.82
80,8.49
96,8.49
112,13.34
128,0.0
144,9.18
160,0.69
176,0.69
192,1.21
208,15.24
224,10.91
240,11.6
256,16.97
272,4.33
288,9.7
304,6.06
320,16.28
336,8.49
352,18.7
368,10.91
384,12.64
400,13.85
416,15.24
432,21.82
448,18.7
464,20.61
480,22.34
496,24.07
512,21.82
528,32.56
544,25.98
560,36.72
576,30.83
592,41.57
608,39.83
624,47.11
640,48.84
656,47.63
672,59.23
688,57.33
704,60.97
720,68.07
736,75.34
752,78.29
768,90.41
784,106.17
800,112.75
816,102.36
832,92.31
848,95.78
864,94.57
880,97.68
896,101.32
912,104.96
928,103.57
944,107.38
960,115.0
976,113.96
992,117.43
1008,120.03
1024,123.66
1040,127.3
1056,130.42
1072,133.88
1088,138.21
1104,141.85
1120,145.49
1136,148.95
1152,152.59
1168,156.92
1184,160.56
1200,164.02
1216,168.35
1232,171.99
1248,176.14
1264,179.78
1280,183.94
1296,192.42
1312,191.73
1328,196.06
1344,204.37
1360,208.01
1376,212.17
1392,215.81
1408,220.14
1424,224.29
1440,227.93
1456,232.09
1472,236.42
1488,239.88
1504,244.21
1520,248.37
1536,252.52
1552,256.85
1568,261.01
1584,265.34
1600,269.5
1616,269.5
1632,273.83
1648,277.81
1664,282.14
1680,286.3
1696,290.46
1712,294.79
1728,297.9
1744,305.7
1760,305.87
1776,310.03
1792,314.18
1808,318.51
1824,321.98
1840,326.13
1856,330.46
1872,333.93
1888,338.26
1904,342.07
1920,346.23
1936,350.38
1952,354.02
1968,358.18
1984,362.33
2000,366.66
2016,370.82
2032,374.46
2048,378.61
2064,382.94
2080,387.1
2096,394.89
2112,394.89
2128,399.22
2144,402.86
2160,406.85
2176,414.81
2192,414.81
2208,422.61
2224,422.61
2240,430.4
2256,434.04
2272,438.19
2288,442.01
2304,441.31
2320,449.63
2336,453.26
2352,456.9
2368,460.71
2384,464.17
2400,467.81
2416,470.58
2432,474.57
2448,478.03
2464,481.84
2480,489.64
2496,489.46
2512,493.1
2528,497.43
2544,505.22
2560,509.55
2576,517.17
2592,516.65
2608,520.81
2624,524.28
2640,523.93
2656,528.09
2672,531.72
2688,539.52
2704,543.33
2720,546.79
2736,546.79
2752,554.59
2768,558.22
2784,558.22
2800,566.02
2816,566.02
2832,578.66
2848,582.47
2864,581.78
2880,585.93
2896,590.09
2912,598.58
2928,598.06
2944,602.22
2960,611.39
2976,610.7
2992,619.19
3008,619.71
3024,626.46
3040,632.18
3056,635.12
3072,636.51
3088,640.84
3104,646.73
3120,652.44
3136,652.27
3152,654.87
3168,660.76
3184,663.53
3200,669.24
3216,673.92
3232,676.17
3248,681.37
3264,687.08
