t,x
0,0.0
16,4.85
32,0.52
48,5.37
64,1.21
80,1.73
96,7.28
112,7.8
128,4.16
144,9.53
160,5.89
176,11.43
192,7.8
208,9.01
224,10.22
240,11.43
256,3.64
272,4.68
288,15.07
304,11.95
320,8.49
336,14.38
352,16.11
368,17.32
384,18.71
400,16.28
416,17.32
432,23.38
448,20.96
464,22.17
480,28.93
496,25.81
512,31.87
528,29.45
544,35.51
560,33.08
576,34.29
592,40.88
608,38.45
624,53.69
640,42.09
656,53.0
672,50.58
688,56.46
704,58.89
720,55.94
736,62.53
752,60.27
768,66.86
784,68.59
800,74.65
816,72.75
832,78.81
848,77.08
864,83.14
880,85.56
896,87.29
912,89.72
928,91.45
944,98.21
960,95.78
976,98.21
992,99.94
1008,106.69
1024,104.27
1040,111.37
1056,113.1
1072,111.37
1088,116.39
1104,119.51
1120,121.24
1136,119.51
1152,125.92
1168,124.19
1184,130.77
1200,129.04
1216,135.79
1232,138.04
1248,136.31
1264,142.89
1280,140.99
1296,147.57
1312,145.84
1328,152.59
1344,155.02
1360,157.27
1376,164.54
1392,166.97
1408,169.39
1424,162.81
1440,164.54
1456,166.45
1472,172.34
1488,173.55
1504,171.3
1520,172.34
1536,178.4
1552,179.61
1568,176.49
1584,182.03
1600,183.25
1616,188.62
1632,184.98
1648,186.19
1664,187.58
1680,192.95
1696,194.16
1712,195.2
1728,196.41
1744,197.8
1760,203.68
1776,200.57
1792,206.11
1808,203.68
1824,214.08
1840,210.96
1856,208.53
1872,214.6
1888,212.17
1904,218.23
1920,224.81
1936,222.39
1952,224.12
1968,221.7
1984,223.6
2000,225.33
2016,227.76
2032,225.33
2048,231.92
2064,229.66
2080,232.09
2096,238.67
2112,236.07
2128,238.67
2144,241.1
2160,243.52
2176,245.77
2192,252.53
2208,250.1
2224,251.83
2240,254.26
2256,256.16
2272,257.9
2288,264.48
2304,266.21
2320,263.96
2336,265.17
2352,267.08
2368,268.63
2384,270.02
2400,271.75
2416,273.48
2432,274.87
2448,272.44
2464,273.66
2480,275.39
2496,280.93
2512,283.18
2528,280.24
2544,289.94
2560,284.4
2576,298.42
2592,291.32
2608,297.73
2624,291.84
2640,302.58
2656,296.0
2672,307.43
2688,300.85
2704,308.12
2720,318.86
2736,309.34
2752,320.77
2768,323.02
2784,317.65
2800,325.44
2816,336.88
2832,330.99
2848,330.29
2864,346.05
2880,344.84
2896,339.3
2912,347.27
2928,359.22
2944,358.01
2960,356.79
2976,360.43
2992,376.71
3008,375.5
3024,370.13
3040,373.77
3056,390.05
3072,384.51
3088,392.47
3104,391.09
3120,394.2
3136,392.99
3152,395.94
3168,399.75
3184,402.52
3200,405.64
3216,409.27
3232,412.22
3248,415.33
3264,418.28
3280,425.73
3296,425.03
3312,427.98
3328,439.93
3344,434.56
3360,437.68
3376,440.62
3392,443.05
3408,445.47
3424,452.05
3440,453.79
3456,452.05
3472,453.96
3488,459.85
3504,457.94
3520,459.85
3536,462.27
3552,467.81
3568,465.56
3584,472.14
3600,470.24
3616,472.66
3632,475.09
3648,477.34
3664,488.43
3680,491.37
3696,489.46
3712,491.89
3728,490.16
3744,496.74
3760,495.01
3776,506.44
3792,504.53
3808,511.81
3824,509.38
3840,504.01
3856,515.27
3872,513.02
3888,516.14
3904,526.88
3920,516.66
3936,532.24
3952,521.51
3968,532.94
3984,530.51
4000,537.61
4016,535.36
4032,537.61
4048,544.37
4064,546.79
4080,548.53
4096,542.64
4112,553.2
4128,546.62
4144,557.71
4160,550.95
4176,566.54
4192,560.13
4208,562.55
4224,568.96
4240,563.07
4256,573.81
4272,567.92
4288,578.66
4304,581.09
4320,579.36
4336,581.09
4352,584.2
4368,594.94
4384,592.52
4400,603.95
4416,593.21
4432,599.79
4448,598.06
4464,608.97
4480,602.22
4496,608.8
4512,606.37
4528,613.13
4544,609.15
4560,617.29
4576,614.86
4592,619.36
4608,622.66
4624,624.39
4640,629.41
4656,623.87
4672,628.37
4688,627.5
4704,637.72
4720,641.19
4736,636.51
4752,638.24
4768,638.59
4784,649.33
4800,640.67
4816,643.79
4832,649.85
4848,645.34
4864,648.81
4880,659.03
4896,663.53
4912,653.66
4928,653.83
4944,657.12
4960,663.18
4976,667.69
4992,661.97
5008,672.71
5024,664.05
5040,663.18
5056,667.69
5072,666.82
5088,677.04
5104,681.54
5120,675.65
5136,686.57
5152,677.73
5168,681.37
5184,677.21
5200,688.47
5216,680.68
5232,687.95
5248,693.32
5264,698.0
5280,692.28
5296,693.84
5312,683.62
5328,693.84
5344,689.16
5360,696.61
