t,x
0,1.9
16,6.75
32,2.42
48,7.79
64,0.0
80,1.9
96,3.63
112,10.21
128,12.64
144,6.75
160,5.37
176,9.18
192,16.97
208,21.13
224,30.13
240,34.98
256,31.35
272,36.19
288,50.74
304,52.48
320,62.69
336,69.97
352,85.56
368,87.98
384,95.78
400,103.74
416,106.69
432,114.83
448,122.62
464,131.45
480,136.3
496,145.31
512,155.53
528,165.75
544,175.45
560,186.36
576,197.27
592,208.7
608,220.65
624,232.08
640,244.73
656,257.37
672,270.01
688,283.35
704,294.96
720,308.81
736,319.03
752,336.35
768,347.44
784,362.33
800,376.71
816,392.47
832,407.54
848,423.3
864,440.1
880,455.69
896,471.62
912,489.11
928,505.91
944,523.93
960,540.9
976,559.43
992,578.14
1008,596.15
1024,616.24
1040,635.81
1056,651.92
1072,674.09
