t,x
0,29.27
16,25.11
32,29.79
48,30.48
64,31.18
80,27.54
96,28.75
112,29.96
128,31.0
144,37.24
160,34.12
176,31.7
192,28.75
208,35.33
224,37.76
240,40.18
256,37.76
272,45.55
288,47.98
304,46.24
320,49.88
336,61.83
352,59.93
368,63.56
384,63.04
400,66.68
416,75.17
432,79.33
448,87.81
464,91.97
480,96.13
496,100.98
512,105.31
528,109.98
544,114.31
560,119.68
576,124.53
592,129.21
608,134.75
624,140.12
640,144.45
656,149.82
672,155.36
688,157.27
704,167.31
720,172.85
736,178.92
752,185.5
768,186.71
784,192.08
800,197.62
816,207.15
832,212.69
848,217.37
864,219.27
880,225.16
896,231.22
912,241.61
928,243.87
944,254.78
960,257.89
976,264.48
992,275.91
1008,283.7
1024,286.13
1040,293.4
1056,304.14
1072,307.78
1088,315.57
1104,322.5
1120,330.81
1136,339.3
1152,347.79
1168,360.43
1184,368.74
1200,373.77
1216,383.29
1232,391.61
1248,401.3
1264,415.16
1280,424.17
1296,429.71
1312,438.72
1328,448.41
1344,458.63
1360,467.12
1376,475.95
1392,489.98
1408,494.14
1424,502.63
1440,508.17
1456,522.54
1472,532.76
1488,542.46
1504,557.01
1520,563.42
1536,573.12
1552,583.51
1568,589.4
1584,605.16
1600,611.74
1616,631.14
1632,638.93
1648,650.37
1664,660.07
1680,672.71
1696,682.06
1712,692.11
1728,705.27
